location,date,zika_confirmed,density_per_km,location_type,country,latitude,longitude,mosquito_dist,max_temp,mean_temp,min_temp,dew_point,precipitation,wind,gdp
Colombia-Amazonas-La_Chorrera,2016-01-09,0,0.5425124168395996,city,Colombia,-1.43337,-72.74994000000001,51.2550241138,88.78,78.65,68.91,69.17,4.9608,3.0,280.0
Colombia-Amazonas-La_Pedrera,2016-06-18,1,0.5697851181030273,city,Colombia,-1.3239,-69.58234,50.37767242,89.18666666666667,79.76666666666667,70.60666666666667,71.78,3.560533333333333,2.3333333333333335,280.0
Colombia-Amazonas-La_Victoria,2016-01-09,0,96.78067779541016,city,Colombia,4.5241049,-76.03607099999998,8.250465294408022,89.59333333333333,80.88333333333334,72.30333333333333,74.39,2.1602666666666663,1.6666666666666667,280.0
Colombia-Amazonas-Leticia,2016-01-09,1,17.075828552246097,city,Colombia,-4.2031649999999985,-69.935907,89.40360453444997,90.0,82.0,74.0,77.0,0.76,1.0,280.0
Colombia-Amazonas-Miriti_Parana,2016-01-09,0,0.5697851181030273,city,Colombia,-1.205904,-69.88790300000001,49.485668914432004,89.39,80.325,71.455,73.08500000000001,2.8604000000000003,2.0,280.0
Colombia-Amazonas-Puerto_Alegria,2016-01-09,0,0.37099459767341614,city,Colombia,-1.005614,-74.01425390000001,48.099054033992,88.78,78.65,68.91,69.17,4.9608,3.0,280.0
Colombia-Amazonas-Puerto_Arica,2016-06-18,1,0.22538726031780246,city,Colombia,-2.13332,-71.73326,57.9979084448,29.0,26.0,22.0,23.0,12.96,1.0,280.0
Colombia-Amazonas-Puerto_Narino,2016-04-02,1,10.440282821655273,city,Colombia,-3.7702,-70.38306,81.41681607999999,31.0,27.0,24.0,25.0,20.84,2.0,280.0
Colombia-Amazonas-Puerto_Santander,2016-01-09,0,219.87786865234372,city,Colombia,8.361322999999999,-72.408389,9.001591100657999,91.0,83.0,74.0,71.0,0.0,5.0,280.0
Colombia-Amazonas-Tarapaca,2016-01-09,0,0.8734766244888306,city,Colombia,-2.891307,-69.741073,67.51007983649798,90.0,82.0,74.0,77.0,0.76,1.0,280.0
Colombia-Antioquia-Abejorral,2016-01-16,1,55.142494201660156,city,Colombia,5.7886929999999985,-75.42860300000001,5.410790056498,75.0,64.0,53.0,55.0,0.0,2.0,280.0
Colombia-Antioquia-Abriaqui,2016-01-09,0,12.82225227355957,city,Colombia,6.634555000000001,-76.06573999999998,5.551622696049999,84.0,75.0,65.0,61.0,0.0,4.0,280.0
Colombia-Antioquia-Alejandria,2016-01-09,0,42.18308639526367,city,Colombia,6.37488,-75.141637,5.203951628799998,73.0,65.0,56.0,58.0,1.45,2.0,280.0
Colombia-Antioquia-Amaga,2016-01-30,1,458.28125,city,Colombia,6.0371130000000015,-75.702277,5.155317909537997,85.0,76.0,66.0,59.0,0.0,5.0,280.0
Colombia-Antioquia-Amalfi,2016-04-09,1,23.62702178955078,city,Colombia,6.906447999999998,-75.073161,6.204711313407993,85.3,77.85,70.95,71.95,1.6205,4.8,280.0
Colombia-Antioquia-Andes,2016-03-26,1,2924.9482421875,city,Colombia,4.570868,-74.297333,8.118123186848003,23.0,15.0,8.0,8.0,4.06,10.0,280.0
Colombia-Antioquia-Angelopolis,2016-02-13,1,129.97012329101562,city,Colombia,6.112769,-75.71163899999998,5.126550774721998,30.0,24.0,19.0,15.0,0.0,9.0,280.0
Colombia-Antioquia-Angostura,2016-01-09,0,54.16404342651367,city,Colombia,6.885648,-75.33582899999998,6.144304119807997,84.0,75.0,65.0,61.0,0.0,4.0,280.0
Colombia-Antioquia-Anori,2016-01-09,0,14.78940200805664,city,Colombia,7.073562,-75.14728699999998,6.752848575687998,82.78,74.91,67.17,68.17,0.8183,6.48,280.0
Colombia-Antioquia-Anza,2016-05-07,1,44.35679244995117,city,Colombia,6.301106,-75.853255,5.154377566471998,27.0,22.0,18.0,17.0,0.0,5.0,280.0
Colombia-Antioquia-Apartado,2016-01-09,1,337.5601806640625,city,Colombia,7.882760999999999,-76.62469200000001,8.882827326242001,91.0,84.0,77.0,74.0,0.0,7.0,280.0
Colombia-Antioquia-Arboletes,2016-01-23,1,55.344398498535156,city,Colombia,8.850104,-76.427089,10.068528661632,94.0,84.0,74.0,74.0,0.0,2.0,280.0
Colombia-Antioquia-Argelia,2016-06-18,1,57.34016799926758,city,Colombia,5.730859,-75.142186,5.505689635761998,23.0,18.0,13.0,13.0,0.0,6.0,280.0
Colombia-Antioquia-Armenia,2016-01-30,1,3085.7080078125,city,Colombia,4.535000399999999,-75.67568879999999,8.218848848000327,88.0,76.0,64.0,65.0,0.75,2.0,280.0
Colombia-Antioquia-Barbosa,2016-01-09,1,286.28314208984375,city,Colombia,6.438790999999998,-75.334099,5.264497203361996,73.0,65.0,56.0,58.0,1.45,2.0,280.0
Colombia-Antioquia-Bello,2016-01-09,1,3486.7861328125,city,Colombia,6.336728799999999,-75.55958869999998,5.175596985498877,84.0,75.0,65.0,61.0,0.0,4.0,280.0
Colombia-Antioquia-Belmira,2016-05-28,1,30.92174530029297,city,Colombia,6.606241000000001,-75.666528,5.500612420161999,84.0,75.0,66.0,61.0,0.0,6.0,280.0
Colombia-Antioquia-Betania,2016-03-26,1,82.35179138183594,city,Colombia,5.746649,-75.97756899999999,5.478452138401998,31.0,25.0,19.0,15.0,0.0,7.0,280.0
Colombia-Antioquia-Betulia,2016-06-18,1,83.95919799804688,city,Colombia,6.11278,-75.98467,5.126548256799998,29.0,23.0,17.0,14.0,0.0,4.0,280.0
Colombia-Antioquia-Briceno,2016-01-09,0,50.83168411254883,city,Colombia,5.690024999999999,-73.92287999999998,5.5807520012500005,29.0,23.0,17.0,14.0,0.0,4.0,280.0
Colombia-Antioquia-Buritica,2016-06-18,1,26.79125595092773,city,Colombia,6.721916999999999,-75.90597600000002,5.729224749777995,29.0,23.0,17.0,14.0,0.0,4.0,280.0
Colombia-Antioquia-Caceres,2016-01-30,1,21.32377815246582,city,Colombia,7.579028999999998,-75.34954499999998,9.090725445681985,86.4,82.2,78.8,71.6,0.0,8.0,280.0
Colombia-Antioquia-Caicedo,2016-06-18,1,55.11973571777344,city,Colombia,6.405354,-75.984309,5.230783010631998,29.0,23.0,17.0,14.0,0.0,4.0,280.0
Colombia-Antioquia-Caldas,2016-01-30,1,8.757612228393555,city,Colombia,5.29826,-75.2479061,6.639861255199998,73.0,65.0,57.0,54.0,0.0,6.0,280.0
Colombia-Antioquia-Campamento,2016-01-09,0,66.44415283203125,city,Colombia,6.9794979999999995,-75.29660190000001,6.4305740240079965,82.78,74.91,67.17,68.17,0.8183,6.48,280.0
